Latency,Requests,Throughput,Measured_Throughput,Baseline,Orchestrator,Benchmark,Infinite,Exp,Availability,Horizontal,Vertical,Threads,Connections,Duration,Mean,Max,StdDev,ReqSec
26820.0,6000.0,33256.0,21764,0,swarm,sn,1,exp12,0,1,1,8,512,30,15350.529,28524.544,5818.104,1107.03
24360.0,6000.0,38327.0,24939,0,swarm,sn,1,exp12,0,1,1,8,512,30,14341.609,26132.48,5498.21,1277.59
26610.0,6000.0,24259.0,16055,0,swarm,sn,1,exp12,0,1,1,8,512,30,15287.115,29114.368,5324.74,807.04
26970.0,6000.0,22214.0,14840,0,swarm,sn,1,exp12,0,1,1,8,512,30,16509.674,29376.512,5280.141,740.43
21540.0,6000.0,53020.0,35444,0,swarm,hr,1,exp12,0,1,1,8,512,30,13856.606,23953.408,4157.571,1766.62
22200.0,6000.0,47486.0,31490,0,swarm,hr,1,exp12,0,1,1,8,512,30,14181.034,23674.88,4268.687,1580.75
22610.0,6000.0,45213.0,30125,0,swarm,hr,1,exp12,0,1,1,8,512,30,14768.451,24461.312,4297.021,1504.09
23330.0,6000.0,44175.0,29344,0,swarm,hr,1,exp12,0,1,1,8,512,30,15281.292,25018.368,4414.62,1469.27
21220.0,6000.0,53578.0,35495,0,swarm,hr,1,exp12,0,1,1,8,512,30,13617.97,23576.576,4092.46,1783.27
26670.0,10000.0,31163.0,20704,0,swarm,sn,1,exp12,0,1,1,8,512,30,16710.505,28622.848,5213.451,1037.9
24610.0,10000.0,55136.0,36834,0,swarm,hr,1,exp12,0,1,1,8,512,30,16278.495,26001.408,4744.399,1833.87
24590.0,10000.0,54035.0,35818,0,swarm,hr,1,exp12,0,1,1,8,512,30,16345.704,25690.112,4737.282,1801.22
24900.0,10000.0,51495.0,35630,0,swarm,hr,1,exp12,0,1,1,8,512,30,16390.737,26411.008,4765.196,1716.14
25360.0,10000.0,46816.0,31668,0,swarm,hr,1,exp12,0,1,1,8,512,30,17033.879,26509.312,4848.365,1558.33
25560.0,10000.0,43707.0,28759,0,swarm,hr,1,exp12,0,1,1,8,512,30,16874.964,27000.832,4942.575,1456.08
27740.0,10000.0,37232.0,24703,0,swarm,sn,1,exp12,0,1,1,8,512,30,15469.5,29294.592,5545.055,1241.07
28050.0,10000.0,21748.0,14552,0,swarm,sn,1,exp12,0,1,1,8,512,30,18012.807,28983.296,5735.942,724.36
27670.0,10000.0,23996.0,15914,0,swarm,sn,1,exp12,0,1,1,8,512,30,17807.913,29114.368,5743.077,798.43
28050.0,10000.0,26994.0,18143,0,swarm,sn,1,exp12,0,1,1,8,512,30,17106.234,29179.904,5446.618,898.89
